200,100,561,563,563
400,200,2239,2241,2347
600,300,5102,5013,5015
800,400,8917,8921,8908
1000,500,13913,13919,13925
1200,600,20024,20064,20048
1400,700,27293,27229,27617
1600,800,36016,35796,35666
1800,900,45114,45147,44989
2000,1000,55546,55922,55684
