200,100,13439,11867,11964
400,200,48280,48232,48257
600,300,109430,109448,109431
800,400,194196,196904,245242
1000,500,387028,387079,387213
1200,600,557029,556948,556923
1400,700,758829,758858,758846
1600,800,989418,989439,989370
1800,900,1.25707e+06,1.25695e+06,1.25722e+06
2000,1000,1.53522e+06,1.54857e+06,1.51168e+06
