200,100,271,270,272,271,270
400,200,1076,1077,1082,1079,1076
600,300,2424,2460,2420,2419,2430
800,400,4303,4285,4287,4269,4288
1000,500,6663,6657,6700,6680,6726
1200,600,9577,9542,9574,9622,9584
1400,700,13157,13085,13101,13036,13014
1600,800,16922,17007,17091,17175,17066
1800,900,21485,21583,21488,21592,21660
2000,1000,26467,26511,26482,26426,26391
