200,100,884,884,883,883,883
400,200,3526,3526,3527,3546,3541
600,300,7984,7981,7975,7975,7975
800,400,14183,14133,14100,14101,14099
1000,500,22023,22018,22017,22032,22052
1200,600,31804,31858,31767,31746,31685
1400,700,43157,43149,43149,43148,43161
1600,800,56486,56416,56497,56528,56401
1800,900,71790,71580,71325,71316,71318
2000,1000,88007,88031,87993,87993,87978
