200,100,201,197,202,199,200
400,200,785,782,785,778,774
600,300,1755,1750,1741,1761,1747
800,400,3096,3109,3094,3080,3081
1000,500,4830,4823,4824,4813,4848
1200,600,7051,7116,6986,6880,6921
1400,700,9511,9440,9408,9350,9460
1600,800,13189,12308,12295,12275,12252
1800,900,15635,15659,15720,15627,15693
2000,1000,19223,19316,19105,19114,19043
