200,100,1146,1129,1129,1131,1127
400,200,4491,4495,4491,4496,4490
600,300,10105,10101,10105,10106,10109
800,400,17937,17927,17933,17931,17945
1000,500,28008,27993,27991,28010,28030
1200,600,40337,40261,40317,40465,40305
1400,700,54859,54803,54814,54888,54813
1600,800,71516,71518,71482,71525,71491
1800,900,90551,90542,90568,90632,90649
2000,1000,111724,111708,111721,111756,111739
